Date,mean,lower,upper
2026-03-02 00:00:00-04:00,257.5711,191.87598,323.4691
2026-03-03 00:00:00-04:00,257.81308,189.68129,325.7352
2026-03-04 00:00:00-04:00,257.09033,191.8938,324.8188
2026-03-05 00:00:00-04:00,257.4123,193.02979,333.65485
2026-03-06 00:00:00-04:00,256.89148,197.03262,328.7895
2026-03-09 00:00:00-04:00,255.9682,192.76505,326.46887
2026-03-10 00:00:00-04:00,256.53796,191.78119,320.41183
2026-03-11 00:00:00-04:00,256.07855,192.79433,320.9209
2026-03-12 00:00:00-04:00,256.33273,192.36917,320.6729
2026-03-13 00:00:00-04:00,256.0853,194.83147,317.50024
2026-03-16 00:00:00-04:00,256.02737,193.27031,324.9751
2026-03-17 00:00:00-04:00,255.92632,191.27843,330.0869
2026-03-18 00:00:00-04:00,254.4449,194.54556,338.9674
2026-03-19 00:00:00-04:00,254.81053,193.10419,331.6167
2026-03-20 00:00:00-04:00,254.85214,195.03358,325.89032
2026-03-23 00:00:00-04:00,254.10217,197.39207,320.78467
2026-03-24 00:00:00-04:00,253.09363,191.30975,319.21484
2026-03-25 00:00:00-04:00,253.59428,196.8352,322.25696
2026-03-26 00:00:00-04:00,253.74896,191.97646,326.56686
2026-03-27 00:00:00-04:00,254.07863,195.3954,328.27472
2026-03-30 00:00:00-04:00,253.40338,192.86032,323.53638
2026-03-31 00:00:00-04:00,252.88554,195.48792,322.42322
2026-04-01 00:00:00-04:00,253.65521,194.21068,327.66153
2026-04-02 00:00:00-04:00,253.61554,191.21405,329.8034
2026-04-03 00:00:00-04:00,253.27261,194.44257,325.34546
2026-04-06 00:00:00-04:00,253.43367,195.68001,329.626
2026-04-07 00:00:00-04:00,253.00195,195.52756,329.0748
2026-04-08 00:00:00-04:00,253.20886,192.48958,321.5869
2026-04-09 00:00:00-04:00,253.90811,194.50253,325.23068
2026-04-10 00:00:00-04:00,253.36649,194.19743,330.30005
2026-04-13 00:00:00-04:00,252.66788,195.59036,335.7714
2026-04-14 00:00:00-04:00,253.87234,194.49399,340.16135
2026-04-15 00:00:00-04:00,254.07417,193.27335,332.31754
2026-04-16 00:00:00-04:00,253.67656,195.02075,333.4817
2026-04-17 00:00:00-04:00,253.2339,197.20738,333.89508
2026-04-20 00:00:00-04:00,252.282,193.23407,332.9213
2026-04-21 00:00:00-04:00,252.52592,193.58058,331.33615
2026-04-22 00:00:00-04:00,252.41635,190.57637,339.53326
2026-04-23 00:00:00-04:00,252.96373,195.50644,338.56763
2026-04-24 00:00:00-04:00,251.46532,190.81595,332.90558
2026-04-27 00:00:00-04:00,251.96965,191.84532,333.05667
2026-04-28 00:00:00-04:00,252.0417,191.6205,337.57855
2026-04-29 00:00:00-04:00,250.97679,191.3111,328.61557
2026-04-30 00:00:00-04:00,251.14337,188.10626,331.08994
2026-05-01 00:00:00-04:00,251.51814,187.63976,330.94037
2026-05-04 00:00:00-04:00,250.77121,186.79431,321.07736
2026-05-05 00:00:00-04:00,249.9794,189.16438,330.2411
2026-05-06 00:00:00-04:00,249.1866,192.94118,321.5877
2026-05-07 00:00:00-04:00,249.23965,193.62123,322.89877
2026-05-08 00:00:00-04:00,249.68779,189.46503,317.45453
2026-05-11 00:00:00-04:00,250.08405,190.87509,322.6438
2026-05-12 00:00:00-04:00,250.4174,192.38518,316.1976
2026-05-13 00:00:00-04:00,249.7939,191.08194,327.67
2026-05-14 00:00:00-04:00,250.71819,191.49763,327.48376
2026-05-15 00:00:00-04:00,251.34067,193.09425,335.10458
2026-05-18 00:00:00-04:00,250.27232,191.37096,328.94025
2026-05-19 00:00:00-04:00,251.03908,194.1512,324.92252
2026-05-20 00:00:00-04:00,251.2311,190.8938,327.17227
